,lambda item,train RMSE mean,train RMSE std,test RMSE mean,test RMSE std
0,0.01,0.9908001299243049,0.0,1.0003984190786122,0.0
1,0.05,0.9908011966972924,0.0,1.000395840715172,0.0
2,0.1,0.9908040049465858,0.0,1.0003941711360953,0.0
3,0.5,0.9908834259007623,0.0,1.0004407188392312,0.0
4,0.75,0.9909819902623261,0.0,1.0005211739878852,0.0
5,1.0,0.9911158753055199,0.0,1.0006386273174015,0.0
6,5.0,0.9928752658589002,0.0,1.0023216763394758,0.0
7,10.0,0.9932045824489303,0.0,1.0026459433494017,0.0
