,lambda user,train RMSE mean,train RMSE std,test RMSE mean,test RMSE std
0,0.01,0.9909656779879887,0.0,1.000506508592935,0.0
1,0.05,0.9909657055289416,0.0,1.0005065283239438,0.0
2,0.1,0.9909657403999528,0.0,1.0005065534491007,0.0
3,0.5,0.9909660371231904,0.0,1.0005067728616235,0.0
4,1.0,0.990966452234093,0.0,1.000507092941848,0.0
5,5.0,0.9909715054301408,0.0,1.000511444201186,0.0
6,10.0,0.9909819902623261,0.0,1.0005211739878852,0.0
