,numFeatures,train RMSE mean,train RMSE std,test RMSE mean,test RMSE std
0,1,0.9909437597253823,0.0,1.0004880353640877,0.0
1,4,0.9776782178817663,0.0,1.0168506368404322,0.0
2,7,0.9644259314429527,0.0,1.036087909613118,0.0
3,10,0.9519434662780001,0.0,1.0593057137010666,0.0
4,13,0.9388200298481225,0.0,1.0856251658576834,0.0
5,16,0.9256842925112663,0.0,1.1166908513258729,0.0
6,20,0.9071469352356406,0.0,1.1623697746115709,0.0
